case_id,court_id,judge_id,case_type_id,filing_date,resolution_date,case_status,duration_days,hearings_count
97,30,21,1,2023-09-28,2023-10-12,Resolved,14.0,8
98,18,2,3,2025-09-29,2026-03-24,Resolved,176.0,2
99,4,13,5,2024-07-23,2025-04-19,Resolved,270.0,3
100,11,86,1,2022-07-21,2022-09-26,Resolved,67.0,5
101,20,40,4,2022-11-15,,Pending,,1
102,13,40,1,2024-07-28,2024-07-29,Archived,1.0,4
103,9,3,3,2021-11-27,,Pending,,3
104,11,85,1,2024-02-04,,Pending,,2
105,46,8,3,2024-02-23,2024-05-16,Resolved,83.0,4
106,41,87,5,2021-06-04,2021-09-05,Archived,93.0,4
107,35,68,2,2024-11-16,2024-11-17,Archived,1.0,3
108,7,33,2,2024-01-23,2024-06-02,Resolved,131.0,1
109,11,64,2,2023-01-27,2023-05-15,Resolved,108.0,7
110,15,25,2,2021-10-31,2022-03-15,Resolved,135.0,1
111,15,47,5,2021-03-27,2021-09-21,Resolved,178.0,3
112,18,64,1,2025-06-19,2026-01-07,Archived,202.0,4
113,31,99,5,2021-03-23,,Pending,,3
114,20,10,1,2022-03-07,,Pending,,1
115,32,99,3,2024-09-27,2024-11-30,Resolved,64.0,1
116,23,73,1,2025-05-17,2025-08-06,Resolved,81.0,4
117,18,31,5,2025-11-27,2026-02-13,Resolved,78.0,1
118,2,13,3,2024-06-25,,Pending,,7
119,5,26,2,2022-04-30,,Pending,,2
120,50,11,4,2025-06-27,,Pending,,3
121,10,35,3,2025-12-11,2026-06-08,Resolved,179.0,4
122,7,63,2,2022-01-03,,Pending,,5
123,21,36,4,2022-11-12,,Pending,,4
124,1,61,4,2023-04-24,,Pending,,4
125,24,30,1,2025-11-05,,Pending,,4
126,15,36,3,2022-05-24,2022-09-29,Resolved,128.0,2
127,38,35,2,2025-06-01,,Pending,,4
128,6,29,4,2023-02-23,,Pending,,3
129,39,7,2,2025-10-25,2026-01-13,Resolved,80.0,4
130,37,5,5,2022-02-13,,Pending,,3
131,45,49,5,2023-08-01,2023-10-24,Resolved,84.0,3
132,33,96,3,2025-08-08,,Pending,,6
133,24,43,5,2022-04-12,2022-08-18,Resolved,128.0,4
134,18,69,1,2024-09-13,2024-10-26,Resolved,43.0,3
135,15,60,3,2022-11-04,2023-05-16,Resolved,193.0,5
136,10,3,1,2021-05-23,2021-10-21,Archived,151.0,5
137,34,29,3,2022-07-26,2022-11-03,Resolved,100.0,4
138,46,43,1,2023-11-10,2024-02-27,Resolved,109.0,5
139,16,27,3,2025-09-24,2026-04-11,Resolved,199.0,6
140,47,32,2,2021-02-26,2021-06-17,Resolved,111.0,4
141,48,28,3,2022-06-19,2022-08-29,Resolved,71.0,8
142,43,93,3,2022-06-28,2022-08-02,Resolved,35.0,4
143,42,66,3,2024-05-06,2024-10-12,Resolved,159.0,2
144,41,85,5,2025-02-01,,Pending,,2
145,35,48,2,2023-06-13,2023-07-06,Resolved,23.0,4
146,42,48,1,2023-11-14,2023-11-15,Resolved,1.0,4
147,45,24,5,2024-03-26,2024-09-23,Resolved,181.0,7
148,5,50,3,2021-04-01,,Pending,,2
149,34,83,3,2021-01-04,2021-06-03,Resolved,150.0,2
150,15,62,2,2025-07-10,2025-11-08,Resolved,121.0,5
151,31,40,3,2025-01-13,2025-01-26,Archived,13.0,6
152,12,5,1,2025-02-18,,Pending,,4
153,23,76,3,2023-01-16,2023-03-22,Resolved,65.0,2
154,34,97,2,2024-09-22,2024-11-22,Archived,61.0,1
155,41,90,1,2024-06-30,2024-11-04,Resolved,127.0,4
156,16,78,1,2025-10-03,2025-11-23,Resolved,51.0,6
157,14,41,2,2022-09-08,2022-11-23,Resolved,76.0,5
158,23,81,4,2024-09-27,2025-02-15,Resolved,141.0,2
159,23,45,4,2023-04-05,,Pending,,5
160,34,52,1,2024-02-10,2024-05-31,Resolved,111.0,5
161,31,43,3,2023-05-12,,Pending,,4
162,15,90,2,2023-02-16,,Pending,,6
163,32,30,1,2021-12-23,2022-07-06,Resolved,195.0,4
164,26,42,5,2022-09-09,2023-01-16,Resolved,129.0,5
165,23,59,2,2025-09-04,2026-05-21,Resolved,259.0,3
166,14,9,2,2022-08-11,2022-12-08,Resolved,119.0,4
167,47,60,4,2025-05-29,2025-10-29,Resolved,153.0,2
168,19,89,3,2024-09-02,2025-01-10,Resolved,130.0,2
169,37,37,3,2023-06-24,2023-08-29,Resolved,66.0,1
170,32,75,2,2022-03-14,2022-12-17,Resolved,278.0,4
171,16,75,1,2025-06-14,2025-06-15,Archived,1.0,3
172,41,21,2,2025-06-19,,Pending,,5
173,15,74,4,2024-09-11,2025-01-13,Resolved,124.0,7
174,50,41,2,2023-11-22,,Pending,,4
175,26,97,2,2024-06-22,2024-12-17,Resolved,178.0,6
176,21,56,4,2025-08-04,2026-02-04,Archived,184.0,1
177,26,23,2,2022-04-27,,Pending,,4
178,19,48,4,2022-04-06,,Pending,,3
179,4,86,3,2021-10-29,2022-04-06,Resolved,159.0,2
180,10,19,5,2022-05-17,2022-08-16,Archived,91.0,5
181,42,48,4,2024-06-05,,Pending,,3
182,45,32,1,2021-05-30,2021-07-18,Resolved,49.0,4
183,16,67,4,2025-12-20,2026-03-25,Resolved,95.0,2
184,40,75,1,2022-02-03,,Pending,,3
185,29,68,4,2023-02-26,2023-05-01,Resolved,64.0,4
186,12,74,3,2022-05-15,2022-09-06,Resolved,114.0,3
187,7,92,4,2024-11-09,2025-06-09,Resolved,212.0,7
188,43,68,2,2025-03-18,,Pending,,5
189,43,16,5,2025-12-19,2026-04-03,Resolved,105.0,3
190,19,76,1,2023-05-21,2023-07-23,Resolved,63.0,4
191,22,17,4,2025-07-05,2025-09-14,Archived,71.0,2
192,15,70,2,2023-11-27,2023-11-28,Resolved,1.0,1
193,12,24,2,2024-02-16,2024-10-26,Resolved,253.0,3
194,31,7,4,2025-10-04,2026-03-03,Resolved,150.0,4
195,3,74,2,2021-10-01,,Pending,,5
196,10,20,1,2024-09-29,2024-12-28,Resolved,90.0,3
197,43,76,1,2024-02-19,2024-08-09,Resolved,172.0,5
198,50,84,1,2025-03-27,,Pending,,2
199,42,10,1,2024-06-08,,Pending,,5
200,28,99,2,2023-10-31,2024-02-23,Resolved,115.0,2
201,38,90,5,2024-01-28,2024-08-05,Resolved,190.0,3
202,25,86,5,2021-11-22,,Pending,,2
203,45,48,3,2023-08-31,2023-12-13,Resolved,104.0,2
204,7,31,2,2025-03-20,2025-07-20,Resolved,122.0,1
205,15,35,3,2024-07-29,2025-01-02,Resolved,157.0,9
206,46,9,2,2025-05-12,2025-12-09,Resolved,211.0,7
207,15,75,2,2024-07-07,2024-07-08,Resolved,1.0,4
208,31,68,3,2023-06-20,2023-12-20,Resolved,183.0,5
209,40,3,4,2022-08-09,2023-03-10,Resolved,213.0,4
210,36,61,2,2022-11-19,2023-03-06,Resolved,107.0,4
211,32,95,5,2024-01-12,2024-07-26,Resolved,196.0,5
212,22,84,5,2021-11-05,2021-11-06,Resolved,1.0,4
213,22,78,4,2024-11-22,2025-04-11,Resolved,140.0,5
214,37,7,5,2022-03-15,2022-06-18,Resolved,95.0,2
215,17,83,2,2023-04-15,2023-12-21,Resolved,250.0,4
216,26,94,2,2023-08-13,2023-12-26,Resolved,135.0,3
217,29,92,3,2022-02-28,,Pending,,3
218,29,43,5,2023-03-09,2023-05-22,Archived,74.0,1
219,47,54,5,2024-04-11,2024-06-04,Archived,54.0,5
220,40,43,1,2021-02-10,,Pending,,5
221,33,4,4,2025-04-17,2025-06-05,Resolved,49.0,4
222,37,97,2,2023-09-04,2024-04-10,Resolved,219.0,4
223,38,77,1,2022-12-22,2023-06-11,Resolved,171.0,5
224,1,45,2,2023-03-10,,Pending,,3
225,24,74,1,2025-09-08,2026-02-01,Resolved,146.0,4
226,20,29,4,2025-03-11,,Pending,,1
227,42,51,2,2025-06-27,2025-12-20,Resolved,176.0,5
228,6,89,2,2022-03-28,2022-09-21,Resolved,177.0,1
229,39,2,4,2022-07-13,2023-01-06,Resolved,177.0,4
230,47,61,2,2021-03-01,2021-09-09,Resolved,192.0,4
231,34,33,1,2024-10-01,,Pending,,3
232,9,40,1,2023-04-09,,Pending,,7
233,40,87,2,2025-09-18,2025-10-01,Resolved,13.0,3
234,40,36,1,2021-09-19,2022-03-05,Archived,167.0,4
235,33,8,3,2023-12-30,2024-03-29,Resolved,90.0,6
236,41,78,1,2023-03-18,2023-07-10,Resolved,114.0,7
237,9,70,4,2024-09-19,2025-02-11,Resolved,145.0,3
238,25,21,1,2024-08-09,2025-03-10,Resolved,213.0,5
239,16,18,1,2025-11-11,2026-05-25,Resolved,195.0,5
240,44,54,2,2021-04-13,2021-04-17,Resolved,4.0,2
241,45,39,2,2022-11-02,2023-04-10,Resolved,159.0,4
242,39,95,3,2022-11-01,2023-02-19,Resolved,110.0,1
243,12,33,5,2025-12-07,2026-07-27,Resolved,232.0,2
244,25,24,2,2025-03-21,2025-09-21,Archived,184.0,3
245,10,13,2,2023-05-14,2023-09-27,Resolved,136.0,3
246,17,99,4,2021-06-17,2021-10-23,Resolved,128.0,3
247,35,18,3,2025-03-15,2025-06-21,Resolved,98.0,2
248,8,43,4,2022-12-18,2023-05-20,Resolved,153.0,3
249,43,30,2,2021-05-21,,Pending,,2
250,3,14,5,2024-08-27,2025-01-01,Resolved,127.0,6
251,47,68,5,2021-03-05,2021-08-08,Archived,156.0,1
252,24,73,2,2022-02-13,,Pending,,2
253,3,79,1,2024-06-26,2024-09-19,Resolved,85.0,7
254,18,41,4,2021-09-16,2022-04-28,Resolved,224.0,6
255,8,56,2,2021-08-23,2021-08-24,Resolved,1.0,3
256,15,52,2,2022-03-23,2022-05-22,Resolved,60.0,6
257,16,88,3,2022-06-09,,Pending,,3
258,17,88,3,2021-12-10,2022-03-02,Resolved,82.0,1
259,6,43,3,2025-03-12,,Pending,,5
260,43,10,2,2025-05-12,,Pending,,2
261,31,55,5,2022-09-30,2023-01-30,Resolved,122.0,3
262,12,10,3,2021-02-22,2021-06-10,Archived,108.0,1
263,35,62,1,2024-03-25,,Pending,,5
264,13,50,2,2023-02-08,2023-05-04,Resolved,85.0,9
265,10,13,2,2025-01-04,2025-04-22,Resolved,108.0,6
266,43,50,5,2024-04-27,,Pending,,7
267,28,93,3,2024-07-08,2025-01-28,Resolved,204.0,1
268,13,51,2,2024-11-28,,Pending,,6
269,19,30,3,2025-10-08,,Pending,,3
270,40,52,3,2025-07-08,2025-09-28,Resolved,82.0,3
271,45,16,1,2024-03-05,,Pending,,2
272,40,67,5,2022-12-13,2023-02-27,Resolved,76.0,7
273,20,40,1,2024-09-16,2025-02-22,Resolved,159.0,6
274,29,31,5,2023-11-03,2024-03-28,Resolved,146.0,6
275,48,14,3,2021-01-26,,Pending,,3
276,21,43,3,2025-08-12,2025-09-30,Resolved,49.0,5
277,2,13,1,2023-06-07,2023-07-15,Archived,38.0,2
278,41,6,1,2024-07-25,,Pending,,1
279,6,25,3,2023-07-31,,Pending,,4
280,24,54,4,2023-06-11,2024-02-28,Resolved,262.0,5
281,49,14,5,2023-12-05,2024-05-10,Archived,157.0,4
282,34,72,3,2022-07-08,2022-10-09,Resolved,93.0,2
283,26,49,1,2024-01-08,,Pending,,1
284,48,1,4,2023-08-11,2023-12-07,Resolved,118.0,3
285,32,40,4,2025-02-06,2025-07-09,Resolved,153.0,7
286,27,18,3,2022-10-23,,Pending,,4
287,32,8,5,2025-08-29,2025-11-13,Archived,76.0,1
288,33,17,4,2022-07-26,,Pending,,5
289,34,3,4,2022-05-15,,Pending,,4
290,21,26,1,2024-03-13,2024-07-29,Resolved,138.0,1
291,30,77,2,2023-02-16,2023-04-25,Resolved,68.0,5
292,26,94,2,2023-10-10,,Pending,,5
293,48,97,4,2022-01-08,2022-07-09,Resolved,182.0,2
294,23,4,1,2022-12-28,,Pending,,5
295,22,54,2,2022-11-29,2023-05-04,Resolved,156.0,5
296,14,1,3,2024-05-05,,Pending,,5
297,44,71,5,2022-07-20,2022-12-14,Resolved,147.0,5
298,6,84,3,2023-11-25,2023-11-28,Archived,3.0,1
299,48,50,3,2021-06-25,2021-06-26,Resolved,1.0,5
300,12,82,1,2023-04-13,2023-09-21,Resolved,161.0,5
301,16,76,3,2025-04-02,2025-07-21,Resolved,110.0,1
302,33,7,5,2023-09-03,2024-02-24,Resolved,174.0,1
303,30,70,5,2023-10-03,2024-03-16,Resolved,165.0,4
304,37,8,2,2021-02-05,2021-05-06,Resolved,90.0,2
305,22,51,2,2022-03-30,2022-10-18,Resolved,202.0,5
306,48,68,3,2022-05-14,2023-02-09,Resolved,271.0,1
307,16,100,4,2024-04-06,2024-06-23,Resolved,78.0,5
308,14,53,3,2024-02-08,2024-05-24,Resolved,106.0,3
309,17,26,4,2023-05-22,2023-08-27,Archived,97.0,3
310,29,70,4,2024-02-02,2024-06-25,Resolved,144.0,3
311,6,22,3,2024-12-10,2025-07-02,Resolved,204.0,4
312,14,29,4,2022-09-20,2023-02-04,Resolved,137.0,3
313,40,67,1,2021-09-05,,Pending,,6
314,31,96,1,2022-10-09,2023-02-02,Resolved,116.0,4
315,35,6,1,2024-01-03,2024-07-18,Archived,197.0,1
316,46,79,2,2024-11-14,2025-04-12,Resolved,149.0,2
317,4,88,1,2022-03-20,,Pending,,4
318,8,15,2,2022-07-21,,Pending,,1
319,46,68,4,2025-04-06,2025-07-08,Resolved,93.0,1
320,27,42,5,2022-08-03,2022-12-19,Archived,138.0,2
321,20,1,1,2025-09-02,2026-03-18,Resolved,197.0,7
322,41,84,3,2022-04-11,2022-08-17,Resolved,128.0,1
323,4,13,5,2022-09-12,2022-12-15,Resolved,94.0,4
324,21,57,1,2023-12-30,2024-07-03,Resolved,186.0,6
325,13,19,1,2021-04-04,2021-04-29,Archived,25.0,4
326,34,20,4,2024-02-08,2024-04-19,Resolved,71.0,5
327,20,54,1,2021-09-16,2022-03-19,Resolved,184.0,4
328,36,9,5,2025-03-22,2025-09-19,Resolved,181.0,4
329,32,18,1,2025-11-23,2026-01-16,Resolved,54.0,3
330,12,37,1,2022-08-06,2023-01-10,Resolved,157.0,5
331,1,89,3,2023-06-22,2023-10-12,Resolved,112.0,3
332,14,33,3,2021-04-16,2021-06-05,Resolved,50.0,1
333,32,47,3,2025-10-31,2025-12-25,Resolved,55.0,1
334,33,87,5,2025-08-11,2025-08-18,Resolved,7.0,4
335,1,62,2,2023-10-05,2024-01-12,Resolved,99.0,1
336,24,73,5,2024-07-13,,Pending,,5
337,30,84,1,2021-11-07,2021-11-08,Resolved,1.0,4
338,1,52,1,2024-02-27,2024-04-29,Archived,62.0,3
339,27,4,5,2021-06-24,2021-10-28,Archived,126.0,1
340,23,91,5,2021-08-31,2022-05-02,Resolved,244.0,7
341,11,12,4,2023-05-03,2023-07-05,Resolved,63.0,1
342,28,87,4,2025-06-08,2025-08-03,Resolved,56.0,2
343,40,40,3,2025-05-08,2025-12-07,Resolved,213.0,5
344,22,78,2,2023-07-12,2023-11-07,Archived,118.0,6
345,42,34,5,2022-09-01,,Pending,,2
346,17,82,5,2023-05-29,2023-07-31,Resolved,63.0,3
347,16,11,2,2024-06-25,2025-02-19,Resolved,239.0,3
348,27,23,4,2025-02-24,2025-06-16,Resolved,112.0,4
349,20,22,3,2025-04-12,2025-05-09,Resolved,27.0,4
350,42,55,4,2022-03-09,2022-03-10,Resolved,1.0,7
351,49,22,2,2021-06-16,2021-08-25,Resolved,70.0,6
352,43,22,2,2021-12-22,2022-06-02,Resolved,162.0,5
353,49,80,3,2021-11-17,2022-07-23,Resolved,248.0,4
354,42,27,1,2023-07-12,,Pending,,2
355,33,88,3,2023-08-21,2023-11-25,Resolved,96.0,1
356,17,65,5,2022-04-20,2022-12-11,Resolved,235.0,1
357,50,17,4,2022-08-03,,Pending,,1
358,26,43,1,2023-07-19,2023-08-19,Resolved,31.0,1
359,47,13,2,2022-04-24,2022-07-31,Archived,98.0,1
360,14,68,5,2025-06-02,,Pending,,4
361,14,94,3,2024-04-22,,Pending,,4
362,12,76,3,2022-02-10,2022-06-05,Resolved,115.0,6
363,5,24,3,2024-01-21,2024-05-13,Resolved,113.0,4
364,31,23,4,2021-11-02,2022-01-05,Archived,64.0,4
365,38,7,4,2025-08-20,2026-01-14,Resolved,147.0,2
366,22,2,2,2021-05-03,2021-09-28,Resolved,148.0,1
367,18,94,3,2022-09-22,2023-02-25,Resolved,156.0,4
368,4,17,5,2025-08-16,2026-02-11,Resolved,179.0,3
369,5,92,5,2022-08-15,2022-10-25,Resolved,71.0,2
370,26,26,4,2023-08-18,,Pending,,5
371,43,28,2,2024-12-04,2025-05-03,Resolved,150.0,5
372,29,37,4,2022-07-12,2022-11-08,Resolved,119.0,6
373,35,59,4,2023-10-09,2024-03-10,Resolved,153.0,3
374,17,87,2,2024-05-09,2025-02-11,Resolved,278.0,7
375,10,3,2,2023-06-04,,Pending,,8
376,23,98,4,2024-05-21,2024-09-17,Resolved,119.0,6
377,37,89,1,2021-07-07,2021-09-05,Resolved,60.0,5
378,12,4,1,2024-10-12,,Pending,,1
379,11,61,1,2024-03-24,2024-05-23,Resolved,60.0,4
380,18,51,3,2021-02-12,2021-03-03,Archived,19.0,6
381,20,74,2,2024-10-08,,Pending,,5
382,8,37,3,2024-03-26,2024-03-27,Resolved,1.0,1
383,34,66,3,2025-03-29,2025-06-06,Resolved,69.0,2
384,29,40,4,2023-11-29,,Pending,,1
385,1,29,5,2022-07-24,2022-10-25,Resolved,93.0,1
386,34,87,3,2024-04-13,2024-06-17,Resolved,65.0,2
387,18,85,1,2025-07-26,2025-11-06,Resolved,103.0,4
388,45,15,4,2021-07-06,2022-01-03,Resolved,181.0,2
389,49,67,1,2023-04-17,2023-08-25,Resolved,130.0,5
390,9,72,3,2024-10-04,2025-02-08,Resolved,127.0,7
391,18,69,2,2021-11-26,2022-04-18,Resolved,143.0,1
392,22,15,4,2024-11-21,2025-06-20,Resolved,211.0,2
393,23,44,1,2024-09-18,2024-09-19,Archived,1.0,6
394,13,67,5,2025-07-25,,Pending,,1
395,27,25,1,2021-03-17,2021-06-05,Resolved,80.0,5
396,33,45,1,2022-10-07,2022-12-24,Resolved,78.0,8
397,16,10,4,2021-08-26,2021-11-22,Archived,88.0,6
398,11,96,4,2023-04-08,,Pending,,6
399,2,62,3,2025-08-17,2025-11-12,Archived,87.0,6
400,9,26,4,2024-09-08,,Pending,,7
401,17,26,3,2023-08-05,2023-12-15,Resolved,132.0,1
402,22,37,1,2022-01-20,2022-04-13,Resolved,83.0,4
403,40,32,1,2024-06-29,,Pending,,4
404,43,17,5,2024-07-04,2024-07-30,Resolved,26.0,5
405,22,8,1,2021-04-16,2021-04-17,Resolved,1.0,2
406,9,82,1,2024-01-30,2024-06-03,Resolved,125.0,1
407,42,80,3,2022-08-13,2022-08-26,Resolved,13.0,4
408,42,11,1,2024-12-01,2025-05-14,Resolved,164.0,5
409,39,25,4,2021-03-01,2021-05-26,Archived,86.0,3
410,50,35,4,2024-05-31,,Pending,,4
411,37,76,4,2024-12-24,2025-03-27,Resolved,93.0,4
412,32,10,1,2024-02-03,2024-06-10,Resolved,128.0,1
413,19,1,2,2023-04-16,2023-07-14,Resolved,89.0,5
414,23,31,4,2025-09-20,2025-12-16,Archived,87.0,1
415,3,31,5,2023-08-04,2024-01-24,Archived,173.0,7
416,4,92,1,2024-08-19,,Pending,,6
417,27,68,4,2023-10-18,2023-11-01,Archived,14.0,3
418,46,92,4,2022-08-21,2022-10-23,Resolved,63.0,3
419,3,69,1,2022-07-14,2022-12-13,Resolved,152.0,4
420,19,55,2,2023-09-16,2023-10-13,Archived,27.0,8
421,44,34,5,2022-05-15,2022-06-30,Resolved,46.0,3
422,9,93,3,2021-10-24,2021-12-23,Resolved,60.0,4
423,6,47,4,2024-05-12,2024-10-30,Resolved,171.0,2
424,7,10,3,2025-12-06,2026-03-31,Resolved,115.0,8
425,36,5,1,2021-05-23,2021-11-04,Resolved,165.0,6
426,43,64,2,2025-06-06,,Pending,,2
427,22,38,3,2022-11-28,2023-03-21,Archived,113.0,4
428,23,4,1,2023-11-06,2024-07-29,Resolved,266.0,4
429,24,84,2,2021-01-06,2021-07-07,Resolved,182.0,5
430,24,87,5,2022-09-04,,Pending,,2
431,42,76,3,2024-04-02,2024-09-29,Archived,180.0,5
432,45,85,1,2023-09-30,,Pending,,3
433,3,43,5,2023-07-04,2023-07-14,Resolved,10.0,3
434,19,74,5,2022-12-08,2022-12-12,Resolved,4.0,4
435,23,34,5,2025-04-12,2025-09-03,Resolved,144.0,5
436,43,26,1,2023-07-22,2023-09-26,Archived,66.0,6
437,42,85,4,2025-11-16,2026-05-10,Resolved,175.0,4
438,35,48,5,2024-11-29,2025-03-17,Resolved,108.0,2
439,39,3,2,2023-02-24,2023-06-01,Resolved,97.0,4
440,46,36,4,2025-05-08,2025-07-30,Resolved,83.0,3
441,45,22,1,2022-10-14,,Pending,,4
442,39,5,1,2024-12-15,2025-02-01,Archived,48.0,6
443,19,42,5,2023-02-20,2023-06-15,Resolved,115.0,1
444,43,47,4,2024-09-21,,Pending,,5
445,10,90,4,2024-08-28,2025-01-15,Archived,140.0,5
446,5,95,3,2023-10-12,2024-04-21,Archived,192.0,4
447,39,98,4,2021-09-16,2022-04-08,Resolved,204.0,3
448,16,36,4,2024-04-23,2024-11-28,Resolved,219.0,3
449,10,55,2,2021-07-25,,Pending,,3
450,37,93,4,2023-06-21,2023-10-05,Resolved,106.0,6
451,47,30,3,2023-07-25,2023-12-14,Resolved,142.0,4
452,2,12,3,2021-10-23,2022-01-07,Resolved,76.0,3
453,13,92,5,2024-09-02,2024-11-28,Archived,87.0,4
454,26,29,5,2021-06-03,2021-06-16,Resolved,13.0,4
455,36,28,2,2022-06-27,2023-01-28,Resolved,215.0,4
